id,platform,coords,meta,created_at,updated_at,lat_long,centroid_coords,address,locality,city,centroid
147,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9500645,77.62402809999999""","{""full"":""GF,  Survey No.21/2 ,Ejipura Village, Begur Hobli, Bengaluru South Taluk BBMP, Bengaluru-560095""}",Begur Hobli,Bangalore,"12.9500645,77.62402809999999"
148,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""28.4275535,77.0491679""","{""full"":""Ground floor,Palmwood 10, Unit number A-9A ,Dhani, Tatvam Villas, Sector 47, Gurugram, Haryana 122001""}",Sector 47,Gurugram,"28.4275535,77.0491679"
149,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.8601432,80.2272254""","{""full"":""Ground Floor, Plot No 728 and 729 , Survey no 421/1, 421/87, Semmencheri Village, Tambaram Taluk, Ganapatthy syndicate colony , 1st street , chennai -600119""}",Ganapatthy syndicate colony,Chennai,"12.8601432,80.2272254"
15,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""13.3533553,74.7853531""","{""full"":""Ground Floor,Khata No. 10177 comprised in Survey no. 61/3, situated at Village Shivalli, Udupi Taluk, Udupi Hobli, Manipal Road, Manipal, Karnataka -576104""}",Udupi Hobli,Udupi,"13.3533553,74.7853531"
150,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""23.9742977,88.62654750000002""","{""full"":""Ground Floor , land bearing Premises No. C-166 ,situated at Mouza karimpur,Pargana kalikanta ,kheyadaha gram panchayat P.S Sonapur ,kolkata700150""}",Mouza karimpur,Kolkata,"23.9742977,88.62654750000002"
151,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""16.5040901,80.6825875""","{""full"":""Ground Floor, Plot Nos. 37, 38 and 39 , Survey No. 176/2A, Layout No. 17/2001, Kanuru Village, Penamaluru Mandal, Vijayawada, Krishna District, Andhra Pradesh -520010""}",Penamaluru Mandal,Vijayawada,"16.5040901,80.6825875"
152,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""21.1820557,79.0859952""","{""full"":""Ground Floor, Shop no 59,60,61,63,64,65,66,67,68,69,70,71 LG floor, Ginger Square, Jaripathka Nagpur 440014""}",Jaripathka,Nagpur,"21.1820557,79.0859952"
153,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""17.3206466,78.5809891""","{""full"":""First Floor of the building known as Vanasthalipuram Residential Complex Plot Nos. C-172, C-173, C-178 & C-179 stuated at Saheb Nagar Kalan Village, Hayath Nagar Revenue Mandal, Ranga Reddy District, Telangana - 500070,""}",Saheb Nagar Kalan Village,Hyderabad,"17.3206466,78.5809891"
154,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""12.9858672,77.6713031""","{""full"":""GF, Sy No.173/2 Situated at Mahadevpura village ,KR puram Hobli ,Bengaluru -560093""}",Mahadevpura village,Bangalore,"12.9858672,77.6713031"
155,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""13.037837,80.1355""","{""full"":""GF, Iyyappanthangal Village, Sriperumbudur Taluk, VGN Nagar, I Main Road, Chengalpet District , Chennai -600056""}",VGN Nagar,Chennai,"13.037837,80.1355"
